,denial,adversary,esca_scaled,MA_scaled,GovTrust,NewsTrust,IntTrust,NC_scaled,Military.Service,Read.FP,reputation_scaled,ambiguity,insulting,war,airstrike,sanctions,diplomacy,age,male,hhi,white,black,education,republican,democrat
1,0,1,100,3.423315842,5,5,5,0.361114103,1,1,100,4,4,5,5,5,5,45,1,1,0,1,2,0,1
2,1,1,56.36441693,-1.615884373,3,4,3,-0.396468989,0,1,50,3,3,2,3,4,4,29,0,5,1,0,4,0,1
3,0,1,68.47956059,-0.147009435,3,4,3,0.696063241,0,3,16.48032188,4,2,3,4,3,5,43,0,2,1,0,2,0,1
4,1,1,56.36441693,3.423315842,1,1,1,0.361114103,0,4,16.63926961,2,2,2,3,4,4,65,0,1,1,0,2,0,1
5,0,1,62.80684509,0.764737986,2,2,1,-0.396468989,1,1,100,4,5,2,3,5,4,33,0,4,0,0,4,0,1
6,1,1,49.30606517,-4.339049168,4,5,5,-0.819102943,0,4,8.360730385,3,1,1,4,3,4,19,0,17,1,0,2,0,1
7,1,1,50.71919411,1.793581818,1,1,4,-0.396468989,1,5,50.64122551,3,2,4,2,4,2,56,1,19,1,0,8,1,0
8,0,1,100,3.423315842,5,5,2,0.696063241,0,1,0,4,5,5,5,5,5,58,1,3,0,0,2,1,0
9,0,1,56.90232928,-1.77674346,2,2,2,-0.061519851,0,3,25,4,2,2,2,4,5,40,1,7,0,0,4,0,1
10,0,1,68.47956059,0.700151047,2,2,4,-0.396468989,0,3,66.63926961,4,3,3,4,3,5,40,0,4,1,0,4,0,1
11,1,1,50.15602248,0.946421336,5,1,4,-0.484153805,0,1,25,4,5,5,3,3,1,45,0,1,1,0,2,1,0
12,0,1,75.56317163,-0.994169917,4,4,4,-0.396468989,1,4,58.51967812,3,3,3,3,5,5,55,1,1,1,0,3,0,1
13,1,1,37.80684509,0.32470688,3,4,2,-0.061519851,0,4,58.51967812,3,3,1,2,4,3,57,0,18,1,0,4,0,1
14,0,1,87.16566223,2.265298132,3,3,2,0.696063241,0,3,83.51967812,4,4,3,5,5,5,61,0,3,1,0,3,1,0
15,1,1,69.14600274,-0.994169917,2,2,3,0.361114103,0,3,8.119591496,3,3,2,3,5,5,51,1,1,1,0,2,1,0
16,1,1,31.26114641,-1.77674346,4,4,3,-0.396468989,0,3,66.8804085,3,3,1,2,2,4,34,0,22,1,0,7,0,1
17,0,1,80.74849334,1.48272459,2,4,4,0.696063241,0,4,58.91976474,3,5,2,5,5,5,26,1,18,1,0,6,0,1
18,0,1,80.87925654,-0.147009435,3,2,3,-0.396468989,0,1,74.44096564,4,4,5,5,4,3,42,1,11,0,0,1,0,0
19,0,1,87.78158581,-0.211596374,1,1,1,0.361114103,0,4,42.12154739,4,4,4,4,5,5,67,0,2,1,0,6,1,0
20,1,1,87.16566223,3.112458614,4,3,4,0.696063241,0,4,100,3,5,3,5,5,5,73,1,13,1,0,6,1,0
21,0,1,81.36441693,0.635564108,4,4,2,-0.061519851,0,5,75.40008662,3,4,3,4,5,5,63,1,5,1,0,6,0,1
22,1,1,56.92758855,-0.522453602,4,5,2,-0.061519851,0,5,66.8804085,3,4,1,2,5,5,44,1,1,1,0,2,0,1
23,0,1,56.92758855,0.260119941,3,3,2,0.361114103,0,1,75,4,5,1,2,5,5,65,0,7,1,0,2,1,0
24,1,1,50.48516039,-1.77674346,4,2,3,-0.061519851,0,4,33.51967812,3,4,1,2,4,5,66,0,20,1,0,5,0,1
25,1,1,12.78158581,0.32470688,3,3,3,-0.819102943,0,3,83.1195915,3,3,1,1,2,2,30,0,1,0,1,2,0,1
26,1,1,50.56317163,0.32470688,4,4,4,0.026164965,0,5,33.27853923,3,3,2,2,4,4,64,0,21,1,0,6,0,1
27,1,1,50.56317163,-1.77674346,4,3,4,0.361114103,0,2,8.519678118,3,1,2,2,4,4,75,0,11,1,0,2,0,1
28,0,1,75.56317163,3.112458614,1,2,2,-0.396468989,0,4,25,4,5,3,3,5,5,73,0,11,1,0,7,1,0
29,0,1,62.72883385,2.265298132,2,2,1,-0.061519851,0,3,74.75886111,4,5,1,3,5,5,62,0,6,1,0,2,1,0
30,0,1,31.95508124,0.946421336,1,1,1,-0.819102943,0,5,33.60186927,4,2,3,1,2,3,29,1,1,0,0,4,0,1
31,1,1,31.90232928,0.570977168,3,3,3,0.361114103,0,4,33.51967812,3,5,1,1,3,4,58,0,5,1,0,3,0,1
32,1,1,56.92758855,-1.77674346,2,2,4,0.026164965,1,4,67.03935624,4,4,1,2,5,5,78,0,18,1,0,4,0,1
33,1,1,81.36441693,-1.77674346,3,2,4,0.361114103,0,3,33.67862585,3,4,3,4,5,5,69,1,5,1,0,6,1,0
