"","denial","adversary","esca_scaled","MA_scaled","GovTrust","NewsTrust","IntTrust","NC_scaled","Read.FP","reputation_scaled","ambiguity","insulting","war","airstrike","sanctions","diplomacy","age","male","hhi","white","black","education","republican","democrat"
"19",1,1,75,0.443343138814045,4,4,4,0.606926920673684,1,50,4,2,4,4,4,4,60,1,12,1,0,7,0,0
"27",1,1,57.8980498796051,-0.428292551024868,2,1,3,-0.491805296921572,4,66.4236609185356,3,3,2,3,4,4,26,0,21,0,0,5,0,1
"29",1,1,88.4604191963038,0.443343138814045,2,1,3,-0.0309045204251778,4,83.5763390814644,4,2,3,5,5,5,80,1,12,1,0,6,1,0
"33",0,1,65.7960997592102,-2.93704243918696,5,5,4,0.288011200124253,1,24.4694812207408,4,1,1,3,5,5,56,1,1,NA,0,4,0,1
"37",1,1,41.0035208443596,-2.06540674934805,2,4,4,-1.12963673802043,3,41.6221593836696,4,2,1,1,4,4,71,0,1,1,0,4,0,1
"38",0,1,88.4604191963038,-2.11848534002537,3,3,NA,0.288011200124253,4,75.3320203141251,4,4,3,5,5,5,29,1,16,0,0,6,0,0
"39",0,1,77.3356805629064,0.496421729491369,4,2,1,0.606926920673684,3,100,4,4,3,3,5,5,69,1,12,NA,0,8,1,0
"43",1,1,81.6997504759944,0.443343138814045,4,4,3,-0.42081276894809,1,33.5763390814644,4,2,4,4,4,5,58,0,7,1,0,5,0,1
"44",0,1,88.4604191963038,1.31497882865296,4,2,4,-0.101897048398659,4,100,4,4,3,5,5,5,69,0,4,1,0,5,1,0
"45",1,1,39.5978003555995,-0.428292551024868,3,4,3,0.288011200124253,2,0,3,3,1,2,3,4,22,1,1,0,0,2,0,1
"46",1,1,93.3002495240056,1.31497882865296,3,1,2,-0.0309045204251778,2,24.6679796858749,4,5,5,5,5,4,61,0,3,1,0,4,0,0
"47",0,1,82.6906287944558,1.31497882865296,4,4,4,0.677919448647165,4,75,4,5,2,5,5,5,46,1,19,1,0,4,0,0
"50",1,1,39.5978003555995,-2.70096610437162,3,4,4,-0.101897048398659,1,50.1984984651341,3,2,1,2,3,4,43,0,4,1,0,5,0,1
"51",0,1,60.2337304425115,3.00517161765346,2,2,2,0.677919448647165,4,100,4,5,1,2,5,5,81,0,7,1,0,4,1,0
"54",0,1,66.0035208443596,-0.375213960347544,3,3,4,-0.810721017471003,3,83.5763390814644,4,4,2,2,5,5,53,0,12,1,0,6,0,1
"55",1,1,82.8980498796051,-0.719532933197993,4,4,4,-0.101897048398659,4,24.6679796858749,4,3,3,4,5,5,42,1,5,1,0,4,0,1
"56",0,1,71.3584690759089,-2.06540674934805,2,2,2,-0.42081276894809,4,50,3,3,1,4,5,5,56,0,4,1,0,6,0,1
"57",1,1,100,1.31497882865296,2,1,2,0.217018672150771,4,91.4236609185356,4,3,5,5,5,5,51,0,14,1,0,6,1,0
"59",0,1,50.2074210851494,-1.24684965018646,2,1,2,-0.0309045204251778,2,67.8167187911792,4,1,4,2,3,3,22,1,NA,0,0,2,0,0
"60",1,1,100,0.0221836031802299,5,1,1,0.996835169196596,3,91.4236609185356,4,5,5,5,5,5,53,0,12,1,0,2,0,0
"62",1,1,82.8980498796051,0.549500320168694,1,1,3,0.288011200124253,1,100,4,4,3,4,5,5,47,1,14,1,0,5,1,0
"63",1,1,70.635930086912,-2.06540674934805,1,1,3,-0.101897048398659,5,42.1526781629289,4,3,3,3,5,4,57,0,13,1,0,4,1,0
"65",0,1,82.8980498796051,0.443343138814045,4,3,3,0.606926920673684,4,100,4,5,3,4,5,5,53,1,19,1,0,4,0,0
"68",0,1,47.9716106498184,-2.06540674934805,2,2,4,-0.101897048398659,2,83.3778406163304,4,2,1,1,5,4,39,0,9,0,0,6,0,1
"71",1,1,27.3356805629064,3.34949059050391,5,4,3,0.677919448647165,3,59.1068578607237,4,4,1,1,3,3,29,0,1,1,0,2,0,1
"72",1,1,34.3037703683652,-2.4097257221985,2,3,3,-0.42081276894809,4,49.4694812207408,4,2,1,1,4,3,22,0,1,0,1,6,0,1
"73",0,1,83.1054709647545,-1.19377105950913,2,4,4,-0.101897048398659,2,51.0610375585184,4,4,4,3,5,5,50,0,5,1,0,2,0,1
"74",1,1,60.2337304425115,-2.80712328572627,3,5,3,-0.101897048398659,5,58.3778406163304,4,4,1,2,5,5,28,1,NA,0,1,5,0,1
"76",0,1,33.7670917094363,-3.22828282136008,1,2,4,-0.739728489497521,3,25.5305187792592,4,3,1,1,2,5,20,0,NA,1,0,6,0,1
"78",1,1,71.5658901610583,1.31497882865296,4,2,4,0.217018672150771,5,91.9541796977948,3,4,2,3,5,5,48,1,2,0,0,5,0,1
"80",1,1,34.3037703683652,-0.375213960347544,2,1,3,-0.42081276894809,4,16.9541796977948,3,2,1,1,4,3,32,0,15,1,0,6,0,1
"82",0,1,100,3.34949059050391,2,1,1,-0.491805296921572,4,100,4,4,5,5,5,5,57,1,21,1,0,6,1,0
"83",0,1,NA,0.443343138814045,1,1,2,-0.172889576372141,1,75.3320203141251,4,4,4,4,NA,1,35,1,1,1,0,1,0,0
"84",1,1,34.3037703683652,-3.62568038488786,1,1,4,-0.810721017471003,4,33.3778406163304,3,2,1,1,4,3,26,0,4,1,0,5,0,1
"85",0,1,70.635930086912,-1.59116862303691,2,3,3,-0.739728489497521,3,66.9541796977948,4,2,3,3,5,4,35,0,1,1,0,2,0,1
"86",1,1,68.3002495240056,2.53093349134232,3,2,4,0.606926920673684,4,49.8015015348659,3,1,4,4,4,3,42,0,2,1,0,2,0,1
"87",0,1,88.6678402814532,1.65929780150341,2,2,3,-0.739728489497521,5,83.9083593955896,4,5,4,4,5,5,60,1,19,1,0,6,0,1
"89",1,1,57.4222894649913,-1.53809003235958,2,1,2,-0.101897048398659,2,16.9541796977948,3,2,1,4,3,5,32,1,3,1,0,1,0,1
"91",0,1,94.4376306833013,2.13353592781455,2,2,4,-0.0309045204251778,3,83.0458203022052,4,1,5,4,5,5,49,1,1,1,0,3,1,0
"93",1,1,88.4604191963038,3.34949059050391,3,2,3,0.996835169196596,1,100,4,5,3,5,5,5,76,1,11,1,0,5,1,0
"113",0,1,82.8980498796051,-1.24684965018646,3,3,3,0.288011200124253,5,50,4,3,3,4,5,5,56,1,2,1,0,2,0,1
"124",1,1,88.4604191963038,3.00517161765346,4,3,2,-0.42081276894809,2,83.5763390814644,4,4,3,5,5,5,63,0,5,1,0,8,1,0
"126",1,1,100,-3.4112805654981,2,2,4,-1.12963673802043,4,100,4,5,5,5,5,5,39,1,10,1,0,6,0,1
"130",1,1,66.0035208443596,-2.06540674934805,4,4,4,-0.42081276894809,4,75,4,2,2,2,5,5,71,0,3,1,0,2,0,1
"133",0,1,63.6678402814532,3.34949059050391,2,1,2,0.288011200124253,2,83.9083593955896,4,5,3,3,4,4,51,0,NA,1,0,8,1,0
"137",0,1,82.6906287944558,1.65929780150341,4,4,4,0.288011200124253,5,91.9541796977948,4,5,2,5,5,5,71,0,8,1,0,6,0,1
"139",1,1,0,-4.7885564568999,1,1,4,-1.12963673802043,1,0,2,1,1,1,1,1,46,0,3,1,0,7,0,1
"140",1,1,60.2337304425115,1.26190023797563,1,1,4,-0.810721017471003,5,100,3,5,1,2,5,5,68,0,12,1,0,8,1,0
"141",0,1,76.9208383926077,3.00517161765346,1,1,3,0.677919448647165,4,100,4,4,1,5,5,5,73,0,NA,1,0,8,1,0
"143",0,1,82.6906287944558,2.13353592781455,4,4,4,0.288011200124253,4,75,4,4,2,5,5,5,36,1,1,1,0,2,1,0
"144",0,1,71.3584690759089,2.13353592781455,4,4,4,0.288011200124253,5,83.9083593955896,4,3,1,4,5,5,66,1,12,NA,0,8,0,1
"149",0,1,39.8052214407488,-1.24684965018646,3,3,4,-0.42081276894809,3,41.9541796977948,3,3,2,1,3,4,21,0,3,1,0,4,0,1
"152",1,1,46.5658901610583,-1.19377105950913,4,4,4,-0.42081276894809,4,8.57633908146444,4,2,1,2,4,4,61,0,5,1,0,8,0,1
"154",1,1,94.2302095981519,0.099024165963596,4,4,3,0.606926920673684,3,100,4,5,4,5,5,5,72,1,10,1,0,4,0,1
"155",1,1,93.3002495240056,-0.0839735781744181,4,2,4,-0.739728489497521,1,100,4,5,5,5,5,4,62,0,3,1,0,6,0,1
"161",0,1,63.6678402814532,1.26190023797563,4,4,4,-0.101897048398659,2,41.6221593836696,4,4,3,3,4,4,77,0,9,NA,0,7,1,0
"163",0,1,57.8980498796051,-2.06540674934805,3,2,2,-0.42081276894809,1,42.484698477054,4,3,2,3,4,4,74,0,2,1,0,4,1,0
"165",0,1,63.4604191963038,0.443343138814045,3,3,3,-0.42081276894809,4,58.5763390814644,4,1,2,4,4,4,76,0,8,1,0,6,0,0
"167",0,1,82.8980498796051,2.13353592781455,4,3,3,0.288011200124253,4,75.1984984651341,4,5,3,4,5,5,78,1,11,1,0,6,1,0
"168",1,1,88.4604191963038,3.00517161765346,4,4,4,0.288011200124253,4,50.3969969302682,4,5,3,5,5,5,53,1,9,1,0,5,1,0
"169",1,1,52.128259477757,-1.11693049672577,3,2,3,0.288011200124253,3,25.1984984651341,4,5,1,3,4,4,89,0,3,1,0,6,1,0
"170",1,1,50,-0.719532933197993,3,3,3,-1.12963673802043,1,100,4,5,3,3,3,3,40,0,18,0,0,8,0,1
"172",0,1,100,1.97221469910211,3,1,3,0.217018672150771,4,100,4,5,5,5,5,5,68,0,10,1,0,2,1,0
"176",1,1,82.8980498796051,0.787662111664495,4,4,3,0.288011200124253,5,100,4,3,3,4,5,5,59,0,7,1,0,5,1,0
"182",1,1,59.0963492832158,-2.75404469504895,1,1,2,0.288011200124253,1,50.5305187792592,4,2,1,3,5,4,71,1,1,1,0,8,1,0
"187",1,1,57.8980498796051,0.970659855802509,4,4,3,0.606926920673684,3,50.1984984651341,3,4,2,3,4,4,60,0,6,1,0,6,0,1
"189",1,1,24.0700399258537,0.734583520987171,5,5,4,-0.42081276894809,5,16.4236609185356,1,1,3,2,2,1,25,1,1,1,0,8,0,1
"191",0,1,50,-0.375213960347544,5,3,3,0.996835169196596,1,50,3,3,3,3,3,3,43,0,1,1,0,4,0,1
"195",0,1,63.6678402814532,1.31497882865296,4,4,4,0.677919448647165,2,50.1984984651341,4,2,3,3,4,4,39,1,1,0,0,3,0,1
"196",0,1,50,-1.06385190604844,4,4,2,-0.101897048398659,1,50,3,2,3,3,3,3,43,0,3,1,0,7,1,0
"208",1,1,81.7606687203095,-1.24684965018646,3,2,3,-0.42081276894809,4,41.6221593836696,4,4,3,5,5,4,47,1,11,1,0,6,0,1
"216",1,1,34.0354310389007,-3.28136141203741,1,2,3,-0.810721017471003,3,50.5305187792592,3,3,1,1,3,4,32,0,13,1,0,2,0,0
"229",0,1,82.8980498796051,-2.11848534002537,4,3,3,-0.101897048398659,5,58.5763390814644,4,5,3,4,5,5,75,0,20,1,0,3,0,1
"236",1,1,31.9680898054588,2.13353592781455,4,4,4,0.606926920673684,4,41.4236609185356,2,2,2,2,3,2,18,1,12,0,0,5,0,1
"245",1,1,65.7960997592102,-0.955609268013331,4,4,1,0.606926920673684,4,42.1526781629289,4,4,1,3,5,5,34,0,18,1,0,7,0,1
"249",0,1,67.4312076941745,1.26190023797563,5,4,5,0.606926920673684,4,16.9541796977948,4,5,4,5,5,1,68,0,4,1,0,6,0,1
"260",1,1,53.5339799665171,-3.22828282136008,4,3,4,-0.42081276894809,4,16.6221593836696,3,2,1,2,5,4,33,0,9,1,0,4,0,1
"261",0,1,NA,-0.0839735781744181,2,1,2,0.288011200124253,4,100,4,5,5,5,5,NA,45,0,5,1,0,2,1,0
"262",0,1,50,3.00517161765346,3,3,3,0.996835169196596,5,32.8473218370711,4,5,3,3,3,3,24,0,1,0,0,2,0,0
"265",0,1,46.5658901610583,-0.719532933197993,5,4,4,0.288011200124253,1,33.5763390814644,4,1,1,2,4,4,22,1,5,1,0,2,0,0
"272",0,1,82.6906287944558,1.44489798211365,5,4,4,0.606926920673684,5,41.4236609185356,4,4,2,5,5,5,55,0,8,0,0,4,0,1
"277",1,1,82.8980498796051,3.34949059050391,3,1,3,0.996835169196596,5,100,4,3,3,4,5,5,75,1,11,NA,0,6,1,0
"280",1,1,77.128259477757,-1.24684965018646,2,3,3,-0.0309045204251778,5,25.1984984651341,4,3,2,4,5,5,69,1,NA,1,0,5,0,1
"281",0,1,70.1601696722982,0.443343138814045,2,4,4,0.288011200124253,1,58.2443187673393,4,4,2,4,4,5,38,0,1,1,0,2,0,1
"282",0,1,45.3675907574476,-0.428292551024868,3,3,2,-0.0309045204251778,1,8.57633908146444,4,2,2,2,3,4,56,0,3,1,0,5,0,1
"285",0,1,100,3.34949059050391,2,1,2,-0.491805296921572,4,100,4,5,5,5,5,5,68,1,4,1,0,4,1,0
